ID,Place_Name,type,City,Budget_Level,Age_Group,Trip_Type,Description,Latitude,Longitude,Coordinate_Source,Geocode_Status,Estimated_Cost_ILS,Place_Name_AR,Description_AR,Description_EN
1,Mosque of 'Umar Ibn al-Khattab (Qalqilya),Religious,Qalqilya,Medium,All,Religious,"The Mosque of Umar Ibn al-Khattab (Qalqilya) is a local mosque named after the second Islamic caliph, serving as a central place of worship in Qalqilya.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,55,مسجد عمر بن الخطاب ,"مسجد عمر بن الخطاب في قلقيلية مسجد محلي سمي باسم الخليفة الإسلامي الثاني، ويُعد مكان عبادة رئيسي في المدينة.","The Mosque of Umar Ibn al-Khattab (Qalqilya) is a local mosque named after the second Islamic caliph, serving as a central place of worship in Qalqilya."
2,Al-Far'a Tower,Historic Old City,Tubas,Medium,All,Cultural,Al-Far'a Tower is a historic watchtower structure in the Tubas governorate.,32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,60,برج الفارعة,برج الفارعة هو برج مراقبة تاريخي في محافظة طوباس.,Al-Far'a Tower is a historic watchtower structure in the Tubas governorate.
3,Khirbet Keshda (Ruin),Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Keshda is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,10,خربة كشدة (أثار),"خربة كشدة هي منطقة أثرية ومأهولة تقع إلى الجنوب الغربي من مدينة طوباس، وترتفع نحو 335 متراً عن مستوى سطح البحر على مساحة تقارب 4 دونماتز تضم الخربة في وسطها فناءً شبه دائري مبنياً من الحجارة المشكّلة يعود تاريخه إلى القرن الثامن عشر أو التاسع عشر، ويتميز بوجود قبة محفوظة وسقف مقوس. تشير المسوحات الأثرية في الموقع إلى وجود جدران متهدمة وبقايا فخار متنوعة تعود إلى الفترة البيزنطية، والعصور الوسطى، والعصر العثماني، حيث استخدم المكان لفترات قريبة كمحطة للبدو الرحل","Khirbet Kashdah is an archaeological and inhabited site located southwest of Tubas, rising about 335 meters above sea level with an area of around 4 dunams.The site features a central, semi-circular courtyard built of shaped stones with a well-preserved dome and a vaulted ceiling, dating back to the 18th or 19th century. Archaeological surveys at the site indicate the presence of ruined walls and diverse pottery fragments dating to the Byzantine period, the Middle Ages, and the Ottoman era, during which the location historically served as a station for nomadic Bedouins."
4,Khirbet Aniun (Ruin),Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Aniun is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,15,خربة عنيون (أثار),"خربة عينون (ويعتقد أن اسمها تحريف للاسم السرياني ""عين نونا"" بمعنى عين السمكة) هي خربة أثرية وتاريخية تقع على بُعد حوالي 3.5 إلى 4 كيلومترات شرق مدينة طوباس، وترتفع نحو 439 متراً عن مستوى سطح البحر على مساحة إجمالية تقدر بـ 32 دونماً.تتميز الخربة بتعاقب الفترات التاريخية عليها؛ حيث تضم في جزئها الأكبر بقايا تحصينات وحجارة ضخمة تعود على الأرجح إلى عصر الحديد الأول، بينما تمتد منطقة الاستيطان البيزنطي على مساحة (6-8 دونمات) وتضم بقايا جدران عقود، ومبانٍ، وساحات، ومقالع حجارة، بالإضافة إلى صهاريج مياه، ومقام أثري، وصخور منحوتة. في العصر الحديث، تُعد أراضي الخربة امتداداً زراعياً لمدينة طوباس وتقطنها بعض العائلات التي تعتمد على الزراعة وتربية الماشية","The site features rich historical layering; its larger section contains massive stone fortifications and remnants likely dating back to the Iron Age I. Meanwhile, its Byzantine settlement area covers about 6 to 8 dunams and holds the ruins of vaulted walls, courtyards, ancient quarries, a shrine (Maqam), water cisterns, and rock-cut installations. Today, the surrounding lands serve as an agricultural extension of Tubas, inhabited by local families relying on herding and farming."
5,Khirbat Um Kubiesh ('Atuf),Archaeological,Tubas,Low,Youth,Adventure,"Khirbat Um Kubiesh, near 'Atuf in the Tubas governorate, is a rural archaeological and agricultural site.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,5,خربة أم كبيش (عتوف),"أثار أم كبيش قرب عتوف في محافظة طوباس، موقع أثري وزراعي ريفي.","Khirbat Um Kubiesh, near 'Atuf in the Tubas governorate, is a rural archaeological and agricultural site."
6,Khirbet Salhab (Ruin),Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Salhab is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,10,خربة سلحب (خربة),"خربة سلحب هي خربة أثرية فلسطينية تقع شمال محافظة طوباس بالضفة الغربية على ارتفاع 430 متراً عن سطح البحر، وتمتد على مساحة تبلغ 15 دونماً. تتميز الخربة بأهمية تاريخية وبيئية بارزة، حيث تضم أساسات أبنية ومعالم قديمة توثق عراقتها، كما تشكل محطة رئيسية لعشاق السياحة البيئية ومسارات المشي (""الهايكنج"") في فلسطين، وأبرزها ""مسار رذاذ المطر والورد"" الذي يربطها ببلدات عقابا وإبزيق وبردلا.","Khirbet Salhab is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history."
7,Khirbet Ibziq,Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Ibziq is an archaeological ruin site in the Tubas governorate, in the Jordan Valley area, associated with ancient and Byzantine-period remains.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,15,خربة إبزيق,"أثار إبزيق موقع أثري في محافظة طوباس بمنطقة غور الأردن، ترتبط بآثار قديمة وبيزنطية.","Khirbet Ibziq is an archaeological ruin site in the Tubas governorate, in the Jordan Valley area, associated with ancient and Byzantine-period remains."
8,The cemetery (an-Nassariya),Historic Old City,Tubas,Medium,All,Cultural,The cemetery of an-Nassariya is a local burial ground in the Tubas governorate.,32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,25,المقبرة (النصارية),مقبرة النصارية هي مقبرة محلية في محافظة طوباس.,The cemetery of an-Nassariya is a local burial ground in the Tubas governorate.
9,Khirbet al-Malih (Ruin),Archaeological,Tubas,Low,Youth,Adventure,Khirbet al-Malih is an archaeological ruin site in the Tubas governorate's Jordan Valley area.,32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,0,خربة المالح (خربة),أثار المالح موقع أثري في منطقة غور الأردن بمحافظة طوباس.,Khirbet al-Malih is an archaeological ruin site in the Tubas governorate's Jordan Valley area.
10,Al-Malih Tower,Historic Old City,Tubas,Medium,All,Cultural,Al-Malih Tower is a historic watchtower structure near Khirbet al-Malih in the Tubas governorate's Jordan Valley area.,32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,30,برج المالح,برج المالح هو برج مراقبة تاريخي قرب خربة المالح في غور الأردن بمحافظة طوباس.,Al-Malih Tower is a historic watchtower structure near Khirbet al-Malih in the Tubas governorate's Jordan Valley area.
