ID,Place_Name,type,City,Budget_Level,Age_Group,Trip_Type,Description,Latitude,Longitude,Coordinate_Source,Geocode_Status,Estimated_Cost_ILS,Place_Name_AR,Description_AR,Description_EN,Image_URL
1,Mosque of 'Umar Ibn al-Khattab (Qalqilya),Religious,Qalqilya,Medium,All,Religious,"The Mosque of Umar Ibn al-Khattab (Qalqilya) is a local mosque named after the second Islamic caliph, serving as a central place of worship in Qalqilya.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,55,مسجد عمر بن الخطاب,مسجد عمر بن الخطاب في قلقيلية مسجد محلي سمي باسم الخليفة الإسلامي الثاني، ويُعد مكان عبادة رئيسي في المدينة.,"The Mosque of Umar Ibn al-Khattab (Qalqilya) is a local mosque named after the second Islamic caliph, serving as a central place of worship in Qalqilya.",https://www.palestineremembered.com/GeoPoints/Qalqiliya_1475/Qalqiliya-77803.jpg
2,Al-Far'a Tower,Historic Old City,Tubas,Medium,All,Cultural,Al-Far'a Tower is a historic watchtower structure in the Tubas governorate.,32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,60,برج الفارعة,برج الفارعة هو برج مراقبة تاريخي في محافظة طوباس.,Al-Far'a Tower is a historic watchtower structure in the Tubas governorate.,https://scontent.fjrs9-1.fna.fbcdn.net/v/t39.30808-6/495794972_1126148339552658_7882272706113990100_n.jpg?stp=dst-jpg_tt6&cstp=mx1440x960&ctp=s1440x960&_nc_cat=105&_nc_map=urlgen_bucketless&ccb=1-7&_nc_sid=833d8c&_nc_ohc=lqSUEsN9ZAMQ7kNvwGrsfsW&_nc_oc=AdpeAYyqPK90AYVz27jYbrvWkXFKULa4FAeNwxom2XP-xt24JfV5Aw06t0ku-kUQ3tU&_nc_zt=23&_nc_ht=scontent.fjrs9-1.fna&_nc_gid=5c7UO7o4PhY0PSrouFJaAw&_nc_ss=7b2a8&oh=00_AQLzzvYN9m5KXDD5y5ephqFNLFo2-8JSarhB98Lb0D_e3g&oe=6AB62FEE
3,Khirbet Keshda (Ruin),Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Keshda is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,10,خربة كشدة (أثار),خربة كشدة هي منطقة أثرية ومأهولة تقع إلى الجنوب الغربي من مدينة طوباس، وترتفع نحو 335 متراً عن مستوى سطح البحر على مساحة تقارب 4 دونماتز تضم الخربة في وسطها فناءً شبه دائري مبنياً من الحجارة المشكّلة يعود تاريخه إلى القرن الثامن عشر أو التاسع عشر، ويتميز بوجود قبة محفوظة وسقف مقوس. تشير المسوحات الأثرية في الموقع إلى وجود جدران متهدمة وبقايا فخار متنوعة تعود إلى الفترة البيزنطية، والعصور الوسطى، والعصر العثماني، حيث استخدم المكان لفترات قريبة كمحطة للبدو الرحل,"Khirbet Kashdah is an archaeological and inhabited site located southwest of Tubas, rising about 335 meters above sea level with an area of around 4 dunams.The site features a central, semi-circular courtyard built of shaped stones with a well-preserved dome and a vaulted ceiling, dating back to the 18th or 19th century. Archaeological surveys at the site indicate the presence of ruined walls and diverse pottery fragments dating to the Byzantine period, the Middle Ages, and the Ottoman era, during which the location historically served as a station for nomadic Bedouins.",https://thisweekinpalestine.com/wp-content/uploads/2022/07/007-b-300x138.png
4,Khirbet Aniun (Ruin),Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Aniun is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,15,خربة عنيون (أثار),"خربة عينون (ويعتقد أن اسمها تحريف للاسم السرياني ""عين نونا"" بمعنى عين السمكة) هي خربة أثرية وتاريخية تقع على بُعد حوالي 3.5 إلى 4 كيلومترات شرق مدينة طوباس، وترتفع نحو 439 متراً عن مستوى سطح البحر على مساحة إجمالية تقدر بـ 32 دونماً.تتميز الخربة بتعاقب الفترات التاريخية عليها؛ حيث تضم في جزئها الأكبر بقايا تحصينات وحجارة ضخمة تعود على الأرجح إلى عصر الحديد الأول، بينما تمتد منطقة الاستيطان البيزنطي على مساحة (6-8 دونمات) وتضم بقايا جدران عقود، ومبانٍ، وساحات، ومقالع حجارة، بالإضافة إلى صهاريج مياه، ومقام أثري، وصخور منحوتة. في العصر الحديث، تُعد أراضي الخربة امتداداً زراعياً لمدينة طوباس وتقطنها بعض العائلات التي تعتمد على الزراعة وتربية الماشية","The site features rich historical layering; its larger section contains massive stone fortifications and remnants likely dating back to the Iron Age I. Meanwhile, its Byzantine settlement area covers about 6 to 8 dunams and holds the ruins of vaulted walls, courtyards, ancient quarries, a shrine (Maqam), water cisterns, and rock-cut installations. Today, the surrounding lands serve as an agricultural extension of Tubas, inhabited by local families relying on herding and farming.",https://wafa.ps/image/NewsThumbImg/Default/4b28e70b-55be-48e3-9bb3-2d4f779aa891.png
5,Umm Burj,Archaeological,Tubas,Low,Youth,Adventure,"Khirbat Um Kubiesh, near 'Atuf in the Tubas governorate, is a rural archaeological and agricultural site.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,5,قرية خربة ام برج المهجرة,"قرية أم برج، هي إحدى القرى الفلسطينية المهجرة والتي كانت تتبع قضاء الخليل، بلغ عدد سكانها إبان النكبة حوالي 160 نسمة، دمرها الإحتلال وهجر أهلها.

كانت القرية تنهض على قمة تل مشرفة على رقعة واسعة من الأرض في الجهات الأربع وكانت منازل القرية مبنية من الحجارة وسكانها من المسلمين وكانوا يستمدون مياه الشرب من ثلاثة آبار ويعتمدون على المزروعات البعلية وتربية المواشي.","Khirbat Um Kubiesh, near 'Atuf in the Tubas governorate, is a rural archaeological and agricultural site.",https://pal48.ps/images/articles/497/101731102589.webp
6,Khirbet Salhab (Ruin),Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Salhab is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,10,خربة سلحب (خربة),"خربة سلحب هي خربة أثرية فلسطينية تقع شمال محافظة طوباس بالضفة الغربية على ارتفاع 430 متراً عن سطح البحر، وتمتد على مساحة تبلغ 15 دونماً. تتميز الخربة بأهمية تاريخية وبيئية بارزة، حيث تضم أساسات أبنية ومعالم قديمة توثق عراقتها، كما تشكل محطة رئيسية لعشاق السياحة البيئية ومسارات المشي (""الهايكنج"") في فلسطين، وأبرزها ""مسار رذاذ المطر والورد"" الذي يربطها ببلدات عقابا وإبزيق وبردلا.","Khirbet Salhab is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",https://www.almayadeen.net/files/947672/%D9%85%D8%B3%D8%A7%D8%B1-%D8%B9%D9%82%D8%A7%D8%A8%D8%A7-%D8%AE%D8%B1%D8%A8%D8%A9-%D8%B3%D9%84%D8%AD%D8%A8---%D8%A7%D8%A8%D8%B2%D9%8A%D9%82---%D8%A8%D8%B1%D8%AF%D9%84%D8%A7--%D9%85%D8%B3%D8%A7%D8%B1-%D8%B1%D8%B0%D8%A7%D8%B0-%D8%A7%D9%84%D9%85%D8%B7%D8%B1-%D9%88-%D8%A7%D9%84%D9%88%D8%B1
7,Khirbet Ibziq,Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Ibziq is an archaeological ruin site in the Tubas governorate, in the Jordan Valley area, associated with ancient and Byzantine-period remains.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,15,خربة إبزيق,أثار إبزيق موقع أثري في محافظة طوباس بمنطقة غور الأردن، ترتبط بآثار قديمة وبيزنطية.,"Khirbet Ibziq is an archaeological ruin site in the Tubas governorate, in the Jordan Valley area, associated with ancient and Byzantine-period remains.",https://www.palestineremembered.com/Jinin/Kh.-Ibziq/Picture129676.webp
9,Khirbet al-Malih (Ruin),Archaeological,Tubas,Low,Youth,Adventure,Khirbet al-Malih is an archaeological ruin site in the Tubas governorate's Jordan Valley area.,32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,0,خربة المالح (خربة),أثار المالح موقع أثري في منطقة غور الأردن بمحافظة طوباس.,Khirbet al-Malih is an archaeological ruin site in the Tubas governorate's Jordan Valley area.,https://ar.wikipedia.org/wiki/%D9%88%D8%A7%D8%AF%D9%8A_%D8%A7%D9%84%D9%85%D8%A7%D9%84%D8%AD_%28%D9%85%D9%86%D8%B7%D9%82%D8%A9%29#/media/%D9%85%D9%84%D9%81:%D9%88%D8%A7%D8%AF%D9%8A_%D8%A7%D9%84%D9%85%D8%A7%D9%84%D8%AD_%D8%B7%D9%88%D8%A8%D8%A7%D8%B3%D9%A3.jpg
11,Khirbet Jabaris - Ruins of Jabaris,Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Jabaris is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,15,خربة جبّاريس - آثار جبّاريس,"خربة جبّاريس هي خربة فلسطينية أثرية ومنطقة طبيعية ساحرة تقع في محافظة طوباس بالأغوار الشمالية، وتضم قرابة 50 مبنىً أثرياً محفوظاً بشكل جيد يحتوي على بقايا أعمدة، وأقواس، ومدافن منقورة في الصخر، وبرك مياه مقصورة . كما يقع في مركزها هيكل ""بازيليكا"" مرصوف بالفسيفساء يعود إلى الفترة الرومانية أو البيزنطية . وإلى جانب قيمتها الأثرية، تتميز بطبيعة خلابة وتنوع حيوي وتُعد موطناً لنباتات نادرة مثل ""سوسنة الشفا"" الفلسطينية."," Governorate within the Northern Jordan Valley. It stands about 300 meters above sea level and covers an area of 12 dunams. Situated east of Tayasir, the site contains around 50 well-preserved ancient structures featuring remnants of columns, arches, rock-cut tombs, and plastered water pools. At its center lies a mosaic-paved ""basilica"" structure likely dating back to the Roman or Byzantine period. In addition to its historical significance, the area boasts breathtaking nature and rich biodiversity, serving as a habitat for rare plants like the Palestinian ""Shfa Iris"" (Iris haynei).",https://scontent.fjrs9-1.fna.fbcdn.net/v/t39.30808-6/480520199_3483685178500336_2254818094971654612_n.jpg?stp=dst-jpg_tt6&cstp=mx1817x1207&ctp=s1817x1207&_nc_cat=101&_nc_map=urlgen_bucketless&ccb=1-7&_nc_sid=127cfc&_nc_ohc=9UcQK36pbrcQ7kNvwHPqSsE&_nc_oc=AdrHT3R9RkmfC8qtKjPrmhp0XZ6qOeim6i46hLf5ydPwoL8ITwgS8He1egeaPBmvzbI&_nc_zt=23&_nc_ht=scontent.fjrs9-1.fna&_nc_gid=cO8GPeGINS1SsqseFHII6Q&_nc_ss=7b2a8&oh=00_AQJYqxiLJAK1B2SCjeJdZyYu-MahYOJUukAqoZXbBqaiig&oe=6AB61D0D
12,Khirbat al Ghurur,Archaeological,Tubas,Low,Youth,Adventure,"Khirbat al-Ghurur is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,10,خربة الغرور,الموقع عبارة عن بقايا معسكر للجيش الروماني مصمم بشكل شبه منحرف، ويحيطه سور يبلغ سمكه حوالي 1.5 متر. ينقسم المعسكر من الداخل إلى أحياء تفصل بينها شوارع منظمة، ويضم غرفاً سكنية، وآباراً، وصهاريج مياه، بالإضافة إلى بقايا برج مربع من الجهة الغربية. تشير المكتشفات الفخارية في الموقع إلى أن تاريخه يعود إلى الفترة الرومانية المتأخرة (القرنين الثاني والثالث الميلادي)، وتتميز المنطقة المحيطة به بوجود طريق رومانية قديمة ومخاضة أبو سدرة إلى الجنوب الشرقي منها.,"Khirbet al-Gharur is a notable historical and archaeological site located in the Tubas Governorate, about 1 kilometer west of the Jordan Valley in the West Bank. The site primarily consists of the remains of a Roman military camp laid out in a trapezoidal shape and enclosed by a 1.5-meter-thick stone wall. Inside, the camp is divided into quarters separated by organized streets, featuring residential rooms, water cisterns, wells, and the remains of a square defensive tower on its western side. Pottery evidence indicates that the fortress dates back to the Late Roman period (2nd to 3rd century AD). The surrounding area is also marked by an ancient Roman road and the Makhadat Abu Sidra (ford) to its southeast",NULL
