ID,Place_Name,type,City,Budget_Level,Age_Group,Trip_Type,Description,Latitude,Longitude,Coordinate_Source,Geocode_Status,Estimated_Cost_ILS
1,Mosque of 'Umar Ibn al-Khattab (Qalqilya),Religious,Qalqilya,Medium,All,Religious,"The Mosque of Umar Ibn al-Khattab (Qalqilya) is a local mosque named after the second Islamic caliph, serving as a central place of worship in Qalqilya.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,55
2,Al-Far'a Tower,Historic Old City,Tubas,Medium,All,Cultural,Al-Far'a Tower is a historic watchtower structure in the Tubas governorate.,32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,60
3,Khirbet Keshda (Ruin),Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Keshda is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,10
4,Khirbet Aniun (Ruin),Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Aniun is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,15
5,Khirbat Um Kubiesh ('Atuf),Archaeological,Tubas,Low,Youth,Adventure,"Khirbat Um Kubiesh, near 'Atuf in the Tubas governorate, is a rural archaeological and agricultural site.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,5
6,Khirbet Salhab (Ruin),Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Salhab is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,10
7,Khirbet Ibziq,Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Ibziq is an archaeological ruin site in the Tubas governorate, in the Jordan Valley area, associated with ancient and Byzantine-period remains.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,15
8,The cemetery (an-Nassariya),Historic Old City,Tubas,Medium,All,Cultural,The cemetery of an-Nassariya is a local burial ground in the Tubas governorate.,32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,25
9,Khirbet al-Malih (Ruin),Archaeological,Tubas,Low,Youth,Adventure,Khirbet al-Malih is an archaeological ruin site in the Tubas governorate's Jordan Valley area.,32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,0
10,Al-Malih Tower,Historic Old City,Tubas,Medium,All,Cultural,Al-Malih Tower is a historic watchtower structure near Khirbet al-Malih in the Tubas governorate's Jordan Valley area.,32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,30
11,Khirbet Jabaris - Ruins of Jabaris,Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Jabaris is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,15
12,Khirbat al Ghurur,Archaeological,Tubas,Low,Youth,Adventure,"Khirbat al-Ghurur is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,10
13,Jenin Visitor's Center,Museum,Jenin,Medium,Family,Cultural,The Jenin Visitor's Center provides information and orientation for tourists exploring the city of Jenin and its surrounding sites.,32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,60
14,Fatima Khatun School,Historic Old City,Jenin,Low,All,Cultural,"Fatima Khatun School is a historic Islamic educational institution in Jenin, part of a complex associated with a Mamluk or Ottoman-era benefactress.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,10
15,"Fatima Khatun Mosque (Jenin Grand Mosque, The Great Mosque)",Religious,Jenin,Medium,All,Religious,"The Fatima Khatun Mosque, also known as the Jenin Grand Mosque, is the city's main historic mosque, part of a religious and educational endowment complex.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,30
16,"Burqin Church (Saint George, Church of the Ten Lepers)",Religious,Jenin,Medium,All,Religious,"Burqin Church (St. George, Church of the Ten Lepers), in the village of Burqin near Jenin, is regarded as one of the oldest churches in the world, built at the traditional site where Jesus healed ten lepers.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,25
17,The Freedom Theater,Family/Recreational,Jenin,Medium,Youth,Family,"The Freedom Theatre, in the Jenin refugee camp, is a well-known community theatre and cultural center founded to give young Palestinians a creative outlet through drama and the arts.",32.463367,35.287232,OpenStreetMap Photon,Matched,35
18,Iraqi Army Martyrs Cemetery,Historic Old City,Jenin,Medium,All,Cultural,The Iraqi Army Martyrs Cemetery in Jenin honors Iraqi soldiers who fought in the 1948 Arab-Israeli war.,32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,40
19,The German Memorial,Historic Old City,Jenin,Low,All,Cultural,The German Memorial in Jenin commemorates German nationals or a German-linked historical episode connected to the area; visitors should verify specific historical context locally.,32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,15
20,Sheikh Sabi's Shrine,Religious,Jenin,Medium,All,Religious,"Sheikh Sabi's Shrine is a local Islamic shrine (maqam) in the Jenin area, venerated by area residents.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,55
21,Jenin Museum of Folklore,Museum,Jenin,High,Family,Cultural,"The Jenin Museum of Folklore showcases traditional Palestinian rural life, costumes, and crafts from the Jenin district.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,115
